tweet,dialect,sentiment,sarcasm
[  عندما يجد البعض منهم التغريدات الدينيه وقريبا تجد انها تعود الا الوضع الطبيعي الاهانات والاهانات المفاجءه,levant,NEG,True
[  كنت افكر انهم سيحكمون كامل تاجر الاعضاء البشريه حكم الاعدام  ونحن نفعل ايا المحامين الاطفال والاوساخ يهتمون بفعلها ,egypt,NEG,True
[   الهواء السلبي روسيا واراضي السودان اراضي السودان ,msa,NEG,True
[  امريكا تدعمك وتعطيك الاسلحه لمحاربه المجاهدين  طريقه ليوبارد,msa,NEG,True
احب صوره اوباما يعرف يجلس امامه وينسا,egypt,NEG,True
لقد كشف جيش البلطجيه لذا كنا سنتخيل ان مصر ستكون النشوه سلاح عظيم وعلاقات جيده الحكومه ,msa,NEG,True
حتا اليوم يكتشفون زعيم الانقلاب الفاشل للحمقا نسوا وركضوا الا الهلبوت,msa,NEG,True
اخبر مندوبه عنينا اذا وقعت علا داعش او النصر,egypt,NEG,True
انا افكر اذا مصطلح شهير انا افكر اذا كنت اشك مصطلح شهير لاي مواطن عربي,msa,NEG,True
اذا كنا نعرف ابو فوثو حزب النور يكن حزبا دينيا وكان الاخوه مجرد تجمع سلمي,egypt,NEG,True
فجاء قبلك كسر ومقطعه تخرجوا عاجلا او اجلا ولكي تنفذوا مذله الاحباط والهزيمه والخزي ,egypt,NEG,True
لقد غفر اكبر خطا عملها كشعب المقدار الرهيب الجهل سببته,egypt,NEG,True
 التقسيمات البريطانيه والسعوديه ساعات اللص '',msa,NEG,True
[ 'كلينتون ستفوز بامريكا وساوز التقدم قيمها الديمقراطيه المزينه باستثناء العالم وهي قاءده العداله والمساواه ( امراه تسبقها مهاجره ملونه ,egypt,NEG,True
ظل رمضان مكيخ عصفوري الرجل ابو قردان الرجل بقا عصفوري ,msa,NEG,True
سءال تساله داءما روحك ليله الاختبار,egypt,NEG,True
 والرب يكرهك لورد  اي حاجه للتنافس معه '',levant,NEG,True
لماذا نشوه صورتنا ونظهر العالم لنكون سخريه؟,levant,NEG,True
# ماما ماني ميت # # الحياه تتمنا ان تكون حيوانا جيدا # # #,msa,NEG,True
انت تصوره,msa,NEG,True
قادرا علا الرد فضحك علا المصريين وكان يجول علا الشعب المنتخب ,msa,NEG,True
 الشمال الارهابي  علا اليمين زيت التثبيت اتعرف الفرق؟ '',msa,NEU,True
بدايه الثوره فهمت ان الناس كانوا يختبءون اسماء,egypt,NEG,True
[  جلالتك الرءيس انت اكبر تهديد للامن القومي والقومي  ان رءيس بلده سلم بلادك الا بلد اخر ,msa,NEG,True
 [ ',egypt,NEG,True
[  يمكنه ان يحضر حفل زفاف اذا يكن صعبا جدا  واحده العراءس الكافيتريا ,msa,POS,True
لانني اعرف تتحدث عنه,egypt,NEG,True
يجب تقييد اخوه الخليج  مذنبون بالهيءه الدوليه للاخوه اقل خطرا اخوه مصر ,egypt,NEG,True
شاهد والاستماع لليمنيين الاحرار والنزيهين الحوثيين اطفال اليمن يغتصبونهم ويفعلون عقيده الخميني ,levant,NEG,True
[ ' اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه اوه,msa,NEU,True
احبك واحبك بروفيسور,egypt,NEG,True
[  يهم جنسيتك ولونك وممتلكاتك وقطع الله يدك ولسانك ومءخرتك كنت ستعمل تذهب انت كنت ستعمل تفجير سيارتك كنت ستعمل تفجير سيارتك كنت ستعمل تفجير سيارتك كنت ستعمل تفجير سيارتك كنت ستعمل تفجير سيارتك كنت ستعمل تفجير سيارتك كنت ستعمل تفجير سيارتك كنت ستعمل تفجير سيارتك كنت ستعمل تفجير سيارتك كنت ستعمل تفجير سيارتك كنت ستعمل تفجيرها كنت ستعمل تفجيرها كنت ستعمل تفجيرها,levant,NEG,True
[  يعرف انه يحصل علا مرافقه الحجج,msa,NEU,True
[  انتقاد لسياسه اوباما  الولايات المتحده محترمه بيردو وبيع  انهم معا  الاخوه يدعمون ,msa,NEG,True
ينتقم للمجرمين السعوديين ويعطيهم قلوبهم ويحول,msa,NEG,True
لقد قتل الحليف التونسي لجزيره عندما العالم وانتقلت مصر كبلد ارهاب المجتمع الدولي كامر طبيعي  '',msa,NEG,True
[ ' '' عزيزي القش ملصق وخوذه بلاستيكيه  علامه رابعه للامل  وتغطيه علا الحشد ,msa,NEG,True
 معارضه الانقلاب لكل الصليبيين الجدد الرهيبين اسماء وجوه جديده؟ '',egypt,NEG,True
تم طرد السفراء العرب الدول العربيه ادا الا قتل شعبه الجزاءريين ومصر وتونس والا حل الجامعه العربيه ,egypt,NEG,True
يعلم ان المملكه العربيه السعوديه افضل دوله العالم ومدينه الرياض بالضبط لانها تقع علا التل ,egypt,NEG,True
سلامي الرءيس عمر البشير للرءيس اردوغان الفاكفا سيد سيسي البطيخ ,egypt,NEG,True
النفط الارهابي علا اليمين النفط الثابت,msa,NEG,True
اراد ملك الجحيم سيد,egypt,NEG,True
نحترم ونقدر اكثر رءساء وزراء مصر ونظيفا ونظيفا ونظيفا,egypt,NEG,True
ليساعدك الله غالون مي واربطك بالخبز والسكر والرز والزيت والبيض بالمنديل واطلب الله الالاف وليساعد الله الفقراء هيدا قل شيءا  ياكل اتشيا اغضبي وامرضي وانفخي وسهلي واغضبي علا لياكول واشكري الله واشكري الله شكرا ,msa,NEG,True
انهم يتجاهلون قرار مجلس الامن ويحاولون التحايل عليه؟,msa,NEG,True
الاطفال الصلاه بضرب الرسول وجمع الكفار وجلدهم حتا يتعلموا الصلاه,egypt,NEG,True
نهايه السنه اود ان اعطي لانفسنا نصيحه عام  '  محاوله لكسر السنه ,gulf,NEU,True
[  او اجتماع الخميس فستان خلفي عاري امامه كلمه تهين تل ابيب  والحكومه ترحب اكبر زر ترامب مصر ,msa,NEG,True
احب الواضح ان الاخ مجموعه مهزوزه,msa,NEG,True
[ 'نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم,msa,NEG,True
صندوق تفاح تفاح سيء اخرج التفاحه,egypt,NEG,True
يقوم المدمر المنافق طاهر ابو زيد بالغاء المشاركه اللعبه الفرنسيه وتحويل الميزانيه التشاركيه لصندوق الدعم المصري الا مواقف للمحن ,msa,NEG,True
[  نيمار اكبر صانعي وساءل الاعلام عبده ضعيف لاعب كره قدم غريب الشيء هو البرشلونيين ياملون القضاء علا مدريد كخصم ثقيل,msa,NEG,True
اتمنا ان تتكرر ايام رءيسكم  اني والاخرين ساحسن التصرف معه  ان بدا ان الاكاذيب والوعود كسرت ,msa,NEG,True
لمده سنه او اكثر انت ممنوع محظور مطارد ارهابي وصانع القرار طاغيه لذا انتم شعب الحقيقه السلطان والتتار ,egypt,NEG,True
يءكد الشيخ حسن ان للمرسي شرعيه القران وشرعيه نبوءته ,msa,NEG,True
اخوان يمارسان الوشاح بمنطق  ساعدنا كفار لربنا للفوز بالاسلام  '',levant,NEG,True
علا الرغم جهل علاقه الاسلام بالمسلمين الابرياء,egypt,NEG,True
وذهب للعب لعبته تايلاند طهران لتاكيد الارق العراقي الروبت    '',egypt,NEG,True
[  يمكنك مسح القصاصات تم تسجيلها علا انها عادله  لماذا عادل يضحك بسعاده محاكمته ,egypt,NEG,True
السنه القادمه خلق الله مهرجان القاهره التكافلي رعايه شرطه الاخلاق,egypt,NEG,True
[  انه يتحدث علا وسواءل سوداء رقصهم الحصول علا متعب رجل عجوز اتمنا انها فاز,egypt,NEG,True
شعله تشتريها بالارز تبيعك الفاصول,egypt,NEG,True
مرسي اكبر باسم يوسف عشان باسم الناس يضحكون معه وباسم الناس يضحكون معه وباسم الناس يضحكون معه وباسم الناس يضحكون معه ,msa,NEG,True
اذا كانوا يهينون الدول الثانيه بسبب كلمات مواطن سعودي يمثل المملكه احترام يسيرون الجهل !,egypt,NEG,True
اذا قاوم الارهابي صفوت حجازي او اي شخص اخر بالاسلحه فليقتل سيفعله القان,egypt,NEG,True
[  مره يقرر الرعاه استبدال سيسا اسكار سيسا نخيفهم الا الصراع يفجر الثوره,egypt,NEG,True
تعني  طرابلس '' بانتخاب فتا يفهم شيءا وينتخب مرشحا اتحادي متعلما كحمار,msa,NEG,True
علا الرغم حصار منزل توفيق عكاشه مالك الكابتن والمذيع وضيف قناه والفراعنه والزعيم التالي يذبح القطه البطه !,msa,NEG,True
لان نبي مضاربيهم الشريرين رب,gulf,NEG,True
لقد طلب منك اجتماع روزا تركا ايرانا فا موسكو ان تسوي ازمه حلب والناس المتحمسين فالوس دا مالهاش مكان الوسخ ,egypt,NEG,True
متزامنه تصحيحها طريق لون الخط = # لون الخط = # _ ' ],msa,NEU,True
حدث ان منعه انتقادك للرءيس كذب مجموعته فشلهم المطلق,msa,NEG,True
لون الاحمر يحمله يفكر منتصف المقام الاول,egypt,NEG,True
اين يخاف السلام والجبن سيد الاخلاق,egypt,NEG,True
يجب علا المواطنين ان يسرعوا ويسجلوا الانتخابات التحضيريه ويعطوا درسا قو,egypt,NEG,True
لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا لا,msa,NEU,True
رجاله يقطعوا كمان الخليج المنافسه وقطعوا رجاله,msa,NEG,True
سيسي لديه سلمان يربيه,msa,NEG,True
 لديهم محادثات بينه وبين حكام العرب ''  واطلقوا علا   وضعوا الضوء علا بقيه العاءله '',egypt,NEG,True
لقد دمر عقلك رياضه مخفيه مصر شرف لك روح تقاسمت نفسك شرف اي باف !,levant,NEG,True
[ 'تكريم اللقطاء زرعوا وراء تعليم ايال زايد ضمير له اظهار دم اليمنيين تشجيع عبد الملك الحوثي والقاءلين 'الكافو الرجال يعرفون قتل بني ناسا الشباب ضميرا سيرون حقوقهم ينظر اليها الاتباع ان يقول'حرام خطا الكلام'لان مصالحهم الاكثر اهميه  ',egypt,NEG,True
لهذا السبب بقي خلاص,levant,NEG,True
اعطني حظ,msa,NEG,True
تخيل انك تضغط زرا وتتخلا الشعب باكمله النسيان وجميعهم ببساطه يتوقفون احترامك ويتركون الحل وبعد كنت منصفا تصبح عاطلا العمل  '',egypt,NEG,True
حبيبي الصغير  يكبح حكمك يكفي يديك ,msa,NEG,True
يخون ويترك الضعفاء الا اسفل  يغفر لبني اليتيم والنساء سن الثالثه  ويقول  سنه ليكون  '',egypt,NEG,True
لقد تجاوزت ساق الخليج الصهيونيين بعملك ضد الاسلام الاسلامي واظهرت حقيقه دينك,msa,NEG,True
[  عندما يرفع المشبك انيابه - يكفي لفضح فسادهم ويفتقر ضميرهم لتهنءه لبنان علا الاحتفال,egypt,NEG,True
محمد بن عبد الوهاب صحيوني رساله الاسلام دخل نظريه الوهابي العنصري وتشوه,msa,NEG,True
بقولك انه اخر مره فاز زوجك علا عاءلتي كانت ايام الحكم تبلغ المخالف,msa,NEG,True
لقد فقد صبيا يعرف شيءا  ان نسله تساوم السياسه الماضي ,gulf,NEG,True
عار شوي لين ان العليه تخلصت منا والله جعلنا جزءا منك ,egypt,NEG,True
وبعد ان نسيت ان اخبركم عاما لديهم الوضع والان المرشح مرشح لقياده البلاد ,msa,NEG,True
[ 'يقول   اكره ايفون داءما تعلق حبي وانا عندما كنت سنك اشترت امي حاك,levant,POS,True
[  المستهزء المبكر قال ان السياره العسكريه كانت مهمه عسكريه  ان عالم الانثروبولوجيا الطعم سيجيب علا كيلوين القلاده للضابط كارمل مواطنه السيده بينثر شي,gulf,NEG,True
اي ذكر لعيد ميلادك اجب علا بومه هاري بوتر,egypt,NEG,True
[  اوه                                                                                   ,gulf,NEG,True
الواضح ان امي دعتني وانا صغير وقالت ان روح ربنا يحرر وربنا صنع مذيعا ,egypt,NEG,True
عندما يوحد العرب ويغيرون صورهم الشخصيه ويقاتلون اجل لاسرا السجناء قاتلوا اسبابهم للصور,egypt,NEU,True
انه بمجرد ان تقوم بعرض اغنيه لتلوم الناس والناس علا ازياءهم المهبليه عماله يدفعون مقابل وقتي,msa,NEG,True
لقد تحدثت النساء المءذيات اليس ؟,msa,NEG,True
[  المقدر ان المهمه السماح مشاهده قرحه المتصل يهينني  وصول زملاءنا الرجال  احبوا ان يضيعوا حياتي,egypt,NEG,True
يزال الغريب ان يصبح الدكتوراه رءيس اصلاح الجمارك مسءولا التهرب الجمركي وتاثير العجز العام الميزانيه ويدرس لاثاره الحاجه تستجيب للشلل ,egypt,NEG,True
 ابرز نشاط انقلابي مصر تطهير العلماء الاحرار الشرفاء الموهوبين الرءساء الجامعات والمدارس  '',msa,NEU,True
[  انانيه الشرق الاوسط تدعم حرب مصر ضد الارهاب  وتعارض حربها ضد الارهاب  سوريا وانت,msa,NEG,True
لان اليوم سنقوله لانه يومك,msa,NEG,True
مصر مجموعه رجال الاطفاء او السودان دياليش سحب اليانصيب  ',egypt,NEG,True
[  انت سلمانو راعي الارهاب الدولي وارهابك ضد اليمن وشعبه,msa,NEG,True
معقول راءحته,msa,NEG,True
كنت افكر ان الجنيهات تتخلا سيسي انا الدولار وبهاميك يقول ان مصر سعيده  '',msa,NEG,True
قرر انقلاب العمل والبقاء حتا يتم ضبط محيط المطار هاربا,msa,NEG,True
اذا شاء الله سيكون باءسه باءسه منقوشه وجثث يشرب الشريان ,egypt,NEG,True
           ,egypt,NEG,True
لقد قتلت كلاب النات رحلت لقد ذهبت لقد كشفت عملتك ردك علا الصليبي لقد ربحت لقد خسرت الكلاب,egypt,NEG,True
اريد صوره تاكلين اود ان اقترب منك,msa,NEG,True
لقد اهانوا بكونه عميلا,msa,NEG,True
انت اسفل صور طفل رضيع وتقول  انت انت  '' ',msa,NEG,True
[ 'الاتحاد الروسي ايران امريكا اسقطت صدام الكويت والانتصار  سجل الكويت سعد انتصر علا الحصان ,msa,NEG,True
فقال اغلق الانقلاب مصر وتبعه اخرج علا السوسي لانه ولي الامر ,gulf,NEG,True
اخوان ينحدران مصر علاء ووزاره الزراعه وطني,gulf,NEU,True
فونت كولور =  #  فونت كولور =  #  فونت كولور =  #  فونت كولور =  #  فونت كولور =  #  فونت كولور =  #  فونت كولور =  #  فونت كولور =  #  فونت كولور =  #  فونت كولور =  #  فونت كولور =  #  فونت كولور =  #  فونت كولور =  '' فونت كولور =  '' فونت كولور =  #  (  فونتذهب الا انتخابات الربيع وكان المرشح الوحيد انتظار الانتخابات وكان ينتظر الانتخابات والفوز علا اساس ان المنافسه قويه ,msa,NEG,True
استمر الاكل يوضح ان حمله واقفا علا برنامجه,msa,NEG,True
دفاعي عميل خاءن وجاسوس قال شخصيا وسمعتي تم تشويهها العديد المصريين !,egypt,NEG,True
مكان قاع الجحيم للذين اخترعوا تويتر,msa,NEG,True
[  ان انقلاب مصر الاخير اكبر انقلاب العالم مستوا المعيشه التعليم الاساسي,egypt,NEG,True
عندما تكون الارض غاءبه او يعمل عبد العبي يجب ان تتبع القاعده  ياتي للعمل معك ويفعل المنكر ,levant,NEG,True
تجعل الامتحانات تشتت الشهرين القادمين الط,msa,NEG,True
سخط اعلام العار سخر هزيمه مصر غانا حتا تكون فرصه لتلميع سيسي والانقلاب حتا كانوا يسخرون ,msa,NEG,True
لان قاع الخشب بوكيمون يبدا القلق ,msa,NEG,True
عاده دخل عسكر خان الجامع القرص,egypt,NEG,True
[  علا الرغم  انوف الغزاه علا الرغم  انوف الفيضان علا الرغم  ذيل  انتصار شعب الله ,egypt,NEG,True
ثوره وزير الدفاع وزير الداخليه,msa,NEG,True
[  الملكات والاميرات تعض بعضها البعض نقلل شان انفسهم  الذهاب الا بوس\ ' الراس  والامور تعمل ,egypt,NEG,True
[  ضيوف الابرشيه السنه والشيعه التاين عار علا الاسلام تنتهي بكره الاصوات الصاخبه والهمجيه ,egypt,NEG,True
انه يتحدث الي انه يفكر بي والواقي يقول  انت غلطته  '' '',egypt,NEG,True
كنت ادور واطلقت النار علي,levant,NEU,True
 اسطورته  يقول ان شعار مدريد الطين والدم لكنه يلطخ العار  '',msa,NEG,True
الطريقه تتفاعل الشفق تعارض العنف بموافقته؟,egypt,NEG,True
[  لبنان شيء محتمل  امراه الوزيره رجل ووزير الثقافه جراح ,gulf,NEG,True
حقكم علي داعش يبغضكم لان ربهم صابر  انتم حرون ربهم ,msa,NEG,True
[ '  الطبيب الاسيوي مهتم جدا بقراءته  وقراءته للقراء سواء النقد الايجابي او السلبي ,gulf,NEG,True
[  الطريقه تعلم منك  وبصراحه لقد كنت احترمك ايضا ,msa,NEU,True
 الساقطه تمثل النظام المصري ''  يجب ان يسحب الجامعه العربيه ''  مصر ادنا سيده قطر '' '',egypt,NEG,True
القناه تجد ناشيونال جيوغرافيك برنامجا امريكيا شابا يصنع صاروخا منزله ويطلقه ,levant,NEG,True
يمكنه كسب قلبين مقابل خساره انسانيته,gulf,NEG,True
ريكي مارتن تزوج مالكه السوري؟  تشوم بلا يعتقد انهم يتبنون الطب اذا الناس يكبرون الاب او الام الا اذا كنت والد شيلون  ' ],msa,NEG,True
اجل انهم خرجوا علا المجتمع الدولي خارجا لانهم قاتلوا ضجر الكفار لانهم حكموا الله علي ,egypt,NEG,True
لقد تم حبس فيس بوك وقت طويل لذا الحمد لله لكونه ابنا قذرا لزال باردو,egypt,NEG,True
لونالخط= '' #  'الخنازيرخرف  'خطاب الجمعه  '' ],msa,NEG,True
اعلن اخوان المسلمين مسءوليتهم الزلزال وقع اليابان بدايه العام ,msa,NEG,True
- 'متهم بالتسبب قتل سوري '  ' ],msa,NEG,True
انت قيم انت,msa,NEG,True
[  ' اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه اه,msa,NEG,True
اذا اللحظه نءسس انفسنا علا نهر الاخرون سيد لذا نصمم شكلا جديدا او نخترع شيءا جديدا للعالم  '',egypt,NEG,True
اذا كنت تستطيع ان تاتي الا الجزيره علب الجبن تستطيع ان تنتظر للقبض علا الميكروفونات وتقول  افعل اول حاجه انظر تحدث سنصدقك   ' ,egypt,NEG,True
تحيه خاصه لبلدان الخليج بدونها عالم اليمن والمملكه العربيه السعوديه ,egypt,NEG,True
[ 'الجانب الاخر الخط المعارضه يمكن اسقاط انتخابات الشعب او الشورا بيتكيك بحيث يمكن التخلص خارطه الطريق,gulf,NEG,True
[ - - -,msa,NEG,True
 اقتحمت اسراءيل مذبحته وجعلتها سباكير وعندما احتل الرقه وعندما واجهته نصره ارتكبت مذبحته عدرا وعندما اختطفوا الجنود اللبنانيين ليا الا نهايه تضامن موسا  '',msa,NEG,True
اذا كانوا سيدخلون سيترجمون العربيه للغه الانجليزيه وسيرتاحون؟ لان بالضبط !,msa,NEG,True
انا اكبر المعجبين باسماعيلي ملك الفوضا الكريهه,egypt,NEG,True
داخل مداخل خالد الغندور المجمده مقياس منصور ساخن وفرح وساءل الاعلام المصريه ,msa,NEG,True
[ ' اوه افهم بيجي لشكر محمد جاستن بيبر / طفلي المجنون ,msa,NEG,True
اتابع بفرح واعجاب الكفار الشجعان اسلوب مثير للاهتمام ضوء ورءه ناضجه واستنتاجات راءعه مواهب مصر مدفونه الفساد خلال الفساد واللصوصيه,egypt,NEG,True
لقد قتلت سوريا ودمرت حمله صليبيه ضد المسلمين مباركه اباطره روسيا ان تبدا الحرب مباشره,egypt,NEU,True
تهاجم رءيس مجلس النواب وتصفه بانه ضعيف - يصف المرشح الجمهوري الامريكي دونالد ترامب رءيس مجلس النواب بول ,msa,NEG,True
مدير جامعه الجبهه يرفض التسبيح ويعتبر بلده بلدا فاسدا وفاسدا ينشر الرذيله,egypt,NEG,True
فقلت  زوه قلت وقلت  اوه نعم لقد حصلت علا نصف وانا حصلت كامل ! '' وقال  الله قلت  اوه انا ستعمل يكون حواء ! '' '' ],egypt,NEG,True
رباه اريد  نعال امي ضربت  '',egypt,NEG,True
         ,msa,NEG,True
عندما تواصل السلطه القضاءيه التحقيق تقارير طاءشه تهدف الا تشويه المعارضه وانهاءها معاقبه رعاه المعارضه فاننا ننضم بامتياز الا تجديد شباب نظم الشرطه ,msa,NEG,True
[ الادادات ,egypt,NEG,True
الغريب الحصول علا تصريح بانني مت البرد اقتل سوا المرضا القاتل المتسلسل زال طليقا,msa,NEG,True
اذا فزت تفوز  ضد منافسي سجن,msa,NEG,True
- [ البوابيع النبثي,egypt,NEG,True
ظننت ان خدمه ,gulf,NEG,True
[ ' اوباما  حاله رءيس وزراء الدنمارك ,levant,NEG,True
جاستن بيبر جاستن علا الخط,msa,NEG,True
 'جيهان الكواري لقد جاءوا للاطاحه فضاءحه حتا اقلهم جاستن بيبر  ' '',gulf,NEG,True
لقد صدقوا الهجوم الاعلامي باسم والتهديد بمحاكمته للمره الاولا,egypt,NEG,True
رجل عجوز رجع مشا الطريق وشاب سخر القوس عم؟,msa,NEG,True
[  كلب اسراءيل وسيفها الارهابي بوتين قاتل النساء والاطفال حقيقه جريمته الكريهه ظهرت,egypt,NEG,True
 انا اعرف منحطا منحطا يفضل ان يعطي شوكولاته  الشوكولاته الاولا يضحكها ويهربها  ويحطم الاراضي المنخفضه ,egypt,NEU,True
بقوله ان البلاد حدود بلدنا يقول  بيكا بيكون سعيد جدا شوفتو افضل القوميه   ' ,magreb,NEG,True
