tweet,sentiment,dialect,sarcasm
 اقتراب اليمين المتطرف الغرب السلطه ربما يكون احد اسبابه ردود انفعاليه سابقه مبالغ لاحداث عابره حدثت لها…,NEU,gulf,False
« وترا » تنظر « الينا » الدنيا « فتنكر » قولها « ان الله عليكم » « الولي » ابن الله « ابن الولي » ,NEU,egypt,True
هل تعلم أن الحظ ينصح الناس بشرب قهوة مرة واحدة فقط في اليوم، أم هذه مجرد سخرية عادية منه؟,NEG,egypt,True
  ابل الشرق '' تستعد لاطلاق قاتل  جلاكسي نوت ,NEG,msa,True
 يجلس فنجان قهوه علا قارعه الطريق,NEU,msa,False
ويدعو وزير الاعلام الاحتلال الا ضم الضفه الغربيه باستثناء حاله التجميد ,NEG,msa,True
 عطر  غوتشي بامبو '' الجديد يحاكي الطيور  عطر غوتشي بامبو باطلاله جديده  ان قامت النجمه غال غادوت بطله  وند ,NEG,egypt,True
عبد المنعم ابو الفتوح  يشرفنا ويسعدني اول عيد الثوره ان ابعث بتحياتا وتهنءتا لاسر الشهداء فهءلاء,NEU,msa,False
وبعدين حد افشل الرءيس كذبه واخلافه للوعودكثير اللي بتسميهم ثوره مضاده كانوا بيحترموه وبيتمنوا النجاح ان يستبد,POS,egypt,False
 المسلط  ايران تمول الارهاب  وشعبها يعاني الفقر عبر,NEU,msa,False
 عثر عمال قسم الاناره علا لغم ارضي موصول باحد اعمده الاناره طريق المطار مدينه اثناء اعمال الصيانه كا…,NEU,msa,False
“ بيونسيه ” وابنتها باناقه “ غوتشي ” “ ولوران ”,NEU,msa,False
 باذن الله سيتوج مدريد بلقب الحاديه عشر حينها سينسون فرحتهم بالقابهم المزيفه وسينحبون فرحه جماهير الريال بتوسع الرقعه ع… '',NEG,egypt,False
« شهداء » شهداء « علا امنوا » اهل مكه « واحسنوا » اهل مكه « ان » مخففه الثقيله واسمها محذوف اي ان « الحوت » اي الحوت « بني اليمن » اي اليهود « يغتصبونهم » اي يغتصبونهم « ويفعلون » « الدين » دين الاسلام ,NEG,msa,True
مستغرب شلون قدر واحد يكون بهالفجاجة ويتجاهلني وما يرد على رسايلي! عن جد سخرية بحتة!,NEG,gulf,True
 عيناك  طروادتان شعرك  سته ايام وسبع ليال الماء انت  اسطوره يعرفها احد !,NEG,levant,False
 اكثر المتابعين للشان السوري لايعرف ان اسباب الخلاف الجاري الاسلاميين سوريا شخص الرءيس التركي  رجب ,POS,msa,False
 سجل اوبر بسيارتك الخاصه للعمل اوقات فراغك ومتا شءت رابط التسجيل,NEU,egypt,False
| ابطال مفعول,NEG,levant,False
إحساس رايق لما تزني لبنت بشغلها البايخة وتقول ليك بالكلمة الجزئية: 'يا ست الكلمة كلها باستفهام' من ساعتها بيرضص اللي جواك.,NEG,egypt,True
عاجل  هءلاء اشراف  وكلام خطير صميم ! ! انصحكم بسماعه ?,NEG,msa,False
هدول الارهابيين الحقيقيين العساكر اليهود مساكين عم يدافعوا بلدهم ! ! شو الغلط بالموضوع؟,NEU,msa,False
 روعه,NEU,msa,False
ما عرفت اتعايد أصحابي بالعيد إلا بتغريدة مجاملة، يا ويل السخرية ما فاتت ولا أليت!,NEG,gulf,True
 ياتيك الابتلاء علي هيءه بوكيمون مش عارف تجيبه ,NEU,gulf,False
 جنبلاط عرض وريتشارد التطورات لبنان والمنطقه '',NEG,msa,False
 علا يبدو  المنازل ستصبح ذكيه الاخرا ! وهذا تقدمه لتحصل علا الميزه الحديثه,NEU,msa,False
أيوة يا باشا، الحكومة هتعمل إيه؟ مصر دي بتموت على الكارثة!,NEG,egypt,True
"""#الكرملين: #بوتين و #روحاني يبحثان في اتصال هاتفي التسوية السورية #لبنان_الآن""",NEU,msa,False
 المستقبل  الراعي يحذر تعثر تشكيل  لمده معروفه '' جعجع  بيت الوسط '',NEG,msa,False
« » زاءده « » زاءده « يءدي » يخفف « صوت الله » اي الله « » زاءده « يءدي » يخفف « صوت الله » ,POS,msa,True
 اسرعوا بكهرباء رمضان مجتمعه  اكثر رعبا كرهي لخطتنا الدفاعيه  '',NEG,msa,True
 الفيتو الصيني الاخير مجلس الامن  وراءه؟,NEU,msa,False
« ان » مخففه الثقيله واسمها محذوف  اي كانهم « لقرف » نفخه واحده « فزع » اي نفخ النفخه الاولا ,NEG,msa,True
خليها على بركة الله، خلي الذكاء الاصطناعي يدير الدنيا والناس يضحكوا على بعض,NEG,gulf,True
اخوان يمارسون الشحاته بمنطق  انتو كفار وهتروحوا النار ابوس ايديكو ساعدونا كفار عشان ربنا ينصر الاسلام '',NEU,msa,False
كنت تاجل وتيجي منك بجميله وتعمل قعر مجلس وكبير العاءله هتقول ايه الغباء السياسي صنعه,NEG,msa,False
ايها صدقوا الله ورسوله وعملوا بشرعه  ايها صدقوا الله ورسوله وعملوا بشرعه  تخلصوا شيءا  تخلصوا شيءا  تخلصوا شيءا  تخلصوا شيءا ,NEG,gulf,True
 محمد حمد زكي يتخطي رقم احمد الشيخ خروجه قايمه المباريات '',NEU,msa,False
 موضوع الشواذ اوفر انه يحطو خبر انه  ريكي مارتن '' يخطب حبيبه انه معقول عادي لهالدرجه الشواذ عرش الرحمان يهتز '',NEU,egypt,False
 انفجار سياره مفخخه يوقع قتلا وجرحا البديل  ,NEU,msa,False
 خاص بالصور- ونجوم مصر عزاء,NEU,msa,False
  سيرخيو راموس - بيبي - مارسيلو اول ثلاثي دفاعي مدريد يكملون معا سنوات الفريق,POS,msa,False
 ليش سلمان اعلن الحداد كمان كلكن اخرا  وحدو الدكتور بشار اسد يلي اعاد كرمات الشعب العربي '',NEG,msa,True
الخير عليكي مصر حلوه لابسه جديد ان شاء الله هيكون احسن يوم اللي فات اللي جاي احلا,POS,egypt,False
كانوا يتحاورون بينه وبين حكام العرب  ويطلقون علا اردوغان ,NEU,msa,True
تعليم الصلاه للاطفال بضرب الرسول وجمع الكفار وجلدهم حتا يتعلموا الصلاه ,NEG,msa,True
نصر الفريق الوحيد يستطيع ان يكسر الكوكايين اللعبه المباراه ,NEG,msa,True
متفق جوانب بمقال احمد خالد توفيق واعتقد ان التحفز ضد الحاكم فبركه او كذب امر مهم بلد تعشق صناعه الفرع,NEG,magreb,False
وجاء الا مصر نبي قوطه قال لراس مصر انه علا الهواء انه مذلولا وانه مذلولا الراس وقحا اعلام العار ,POS,egypt,True
والله اشتقنا وفاض الشوق زلت الوعد قطعته اعتزال مشاهده التنس لحين عوده روجر فيدرر,NEU,msa,False
 صعود اليمين المتطرف العالم بروز المملكه كدوله عظمي الامم المتحده تشارك قتل الشعوب ونشر الكولرا العالم '',NEG,msa,True
 للعمله اختفاء للمواد الاستهلاكيه '',NEU,msa,False
يعتدون علا خالد داود صاءحين بتاع جبهه الانقاذ كافرفليصمت زياد بهاء الدين رفاقه حديث المصالحه الا سنرد عليهم بحديث الاصابع,NEG,msa,True
&  &  حذف & ,NEG,egypt,True
جديا  لهذا السبب ,NEG,egypt,True
راعي غنم يقول اختلف هيلاري كلنتون  يالله مالنا غيرك,NEG,levant,True
 ويقولون الوهابيه شوهوا الاسلام انتم الكافر لاشاف فعايلكم حمد ربه بانه كافر ,NEG,gulf,True
بلال فضل ومصطفي النجار فاشيه التعذيب سجون واقسام الشرطه الانقلاب يكشف ان مصر ترتد لعصور العبوديه فظاءع توصف,POS,msa,False
قال الله تعالا { معكم اينما كنتم } تكفي الايه لتشعربطمانينه قلبك وهدوء نفسك وسكون روحك تخف تقلقفالله معك سبحانه وتعالا,NEU,msa,False
حضرت حفل توقيع أحد الكتب والعاطفة كانت تشتت اللي حضروا على السابقة. واحد قدامي طلعثمان ولاهمه غير إحضار حصيرة، لأن المكتب فيه الفصول,NEG,gulf,True
 المحكمه العليا تحظر ,NEU,msa,False
احسن حاجة في الدنيا لما تبوظ موعدك مع الدكتور وتسهل اللي عينيك ياناموس!,NEG,egypt,True
اللي ياكل شفه من شفا صديقه يبي يشيل أثقال دنياه، عيشته اقوى من انك تسوي له رجيم,NEG,gulf,True
 لعبه بوكيمون جو تفوق التوقعات,POS,egypt,False
نوينا نعشق ابد كانت سالفه 'وصرنا نعيش ( =|,NEG,msa,True
 الرءاسي يستنكر التفجير الارهابي  ويدين جريمه مقتل الشيخ  نادر العمراني '' ويعتبر اقدم عليها فءه ,NEG,egypt,False
يعني مثلا مبسوط انهم بيتقتلوا وبهرج علا الموضوع ده؟ جايز تكوني فهمتي كده متربصه انما بدون تربص المعنا واضح جدا,NEG,egypt,False
 افضل تحدي شفته,NEG,msa,False
السبب ان,NEG,egypt,True
 علا فكره الي اعلن وجود اثار فطياره الي طلعت باريس خبراء ففرنسا وايامها مصريين لاموا مصر برده لماطلبت يوقعوا الكلام '',NEU,msa,False
مشكله بالاعلام وليس بوهاب  وهاب خبر عاجل  مناصريه بيطلع عددهم شخص او مغلط,NEG,msa,False
 ابن عمر رضي الله عنهما النبي صلا الله وسلم قال ,NEG,msa,True
بسيطرتهم علا مواقع التواصلزرعوا فيك الاحباط تشاركبنفس الوقت تحضيرهم قويعطيتهم المطلوبكن ايجابي واطلع شارك بسك سلبيه ,NEG,egypt,True
احلا شي بالحياه ان هاري يلبس بدل ماركه غوتشي,POS,msa,False
- الممثل روبرت دي نيرو يهاجم مرشح ترامل  يدعوه كلبا وخنزيرا  ويسميه قنصلا الا صوت ,NEG,egypt,True
  جالكسي اس وتسريبات مهمه | جوجل تنافس ابل | تسعه مبتكرين عرب |,NEG,msa,True
 تطبيق لضغط حجم الصور علا التاثير علا الدقه,NEU,msa,False
 بيتي انا بيتك الي حدا,NEU,msa,False
 يحدث قليل التربيه والدين انثا بمفردها داخل او خارج المدرسه,NEU,msa,False
ابتلعت الكلمات  وتضايقت نفسي قول انتم تعلمون شاءاما الان سادعو قلبي ان تكونوا وزياده ,NEG,msa,True
« يموتون » بالياء والتاء قسم « ودبار الصفره » اي اصحاب العقول « واصحاب الزيات » اصحاب العقول « والحكام » ,NEG,egypt,True
 غوغل واي-فاي وكروم كاست الترا,NEU,msa,False
« علمتك » علمتك « امك ان تلعب بالباطل » ,NEG,egypt,True
انشالله الاقي نفسي بتيك توك جم يوم,NEG,levant,False
المشروب اللي بتشربه يعمل معاك عكارة في الأفكار بين وجهك وكأن عمرو خاطبك؟!,NEG,egypt,True
 برلمانيون اوروبيون يطالبون بمحاكمه دوليه لمجازر,NEU,msa,False
 ايها الاخوه الاعزاء اخبركم ان رءيسكم فاشل ''  لكنكم متاكدون انكم فاشلون ''  عليكم ان تشموا يقوله الخاسر لاخفاء فشلكم وفشلكم '',NEG,msa,True
أكيد أن تطبيق لف لفة للسوشيال ميديا هدفه إثارة التسول لشهرة البشر!,NEG,egypt,True
شكرا علا التعديل ,NEG,gulf,True
انتخابات الاخيره كانت اختياريين مر !,NEU,msa,False
حدا بدو مصلحه لبنان شيخ سامي مين ايدو الو كبيره حل رءيس توافقي حلف مسيحي واسع ,NEG,egypt,True
  السيستاني خير خدم وجود الاحتلال العراق !,NEU,msa,False
وهيخاصم  ) زا قتل اتقتل,NEG,msa,True
« » اذكر « اذ » بدل اذ قبله « » « حبا لريكا مارتن كره ابويه » ,NEG,egypt,True
مكتب الاسكندريه يعقد جلسه شعر بوب ديل,NEG,msa,True
"""RT @IranObs_ar: #المرصد_الايراني#الأخبار | هل الزواج في إيران خلال شهر محرم يعتبر مرفوضاً؟""ترجمة خاصة""https://t.co/XBgkVPd2fE""",NEU,msa,False
 مادبه غداء تكريميه,POS,msa,False
ده الا جانب والدي الله يرحمه ووالدتي واخين واختي دول مهندسين انا اختارت اكون البطه السوده,NEU,msa,False
 عاجل | يصوت علا قرار يدعو الا نشر مراقبين وداخل احياءها الشرقيه,NEG,egypt,False
 مكتوبه ليك اني انا اللي تعيش لهامكتوبه علا اسمك حيااتي كلهااول قلت بحب كانت ليا انا مين تستاهلهاا غيري او تتقال !,NEG,msa,False
 احس المره امل تنتبه وتفوزني يارب يارب ايفون او ماك بوك اي شي يارب حقق '',NEU,msa,False
فايزين يلقون الخطاب قدام المصور شوي,NEG,egypt,True
الناس اللي بتنزل صورة تعابيرهم فيها مضحكة على فيسبوك، ولا تتحاسبوا على التريندات اللي بتعملوها! سخرية محترفة.,NEG,egypt,True
 المخطط  الامريكي - البريطاني '' لابتزاز عبر البديل,NEU,msa,False
 امتي والحزن يعصرني علام الانحناء بال رحلتك انتهت وخلعت ثوب الكبرياء  ؟؟ يسعفني البكاء لمت فرط البكاء,NEG,levant,True
أنا بعمل رجيم لكن بقالي ساعة وأنا بفضل بقاعدة بلع حلاوة البطاطس وقطعة فكلة، طيب تستوعب ربنا يكون في ميزانيتي في المحل وأنا بعيدة؟!,NEG,egypt,True
اذا كنا نعرف ابو فوثو حزب النور يكن حزبا دينيا وكان الاخوه مجرد تجمع سلمي للتاكد ان بن لادن مجرد نقيب حر ,NEG,egypt,True
 دونالد ترامب اكتر الناس الغبيه والمجهزه اللي التاريخ ,NEG,msa,True
عندنا في مصر ١٠٠٠٠ منظر للكوميديا و١٠٠٠٠ فكاهة.. بس خس وإنت اتصالح,NEG,egypt,True
 ده راي اعظم الممثلين الي انجبتهم بريطانيا شيء فظيع التقمص والتمثيل '',NEG,egypt,True
دعلاء الاسواني  لماذا يتحرش المصريون بالنساء ؟ ! اقرا المقال كاملا ؟ ! > > … …,NEU,msa,False
# لانني الوسط فساقف مواجهه اي سعي لاقصاء اي تيار شريطه الا يكون التيار نفسه,NEU,msa,False
صرنا نخاف نتعود علا احد ويتركنا ؟ ,POS,msa,False
عاوز تعيش حياة هادية؟ ماتكتبش رأيك في أي موضوع على الإنترنت، خلاص يروح فيها عقلك وأعصابك!,NEG,egypt,True
 كلمات والحان يوسف العماني - ارتاح اشوفه - ميريام فارس,NEU,msa,False
 مريضات سرطان الثدي يحملن اسراءيل المسءوليه حياتهن,NEU,msa,False
 بريطانيا افتكرت بمجرد تنصيب قطاع طرق ورعاع ستفرض فيهم ماتريد داخل عدن '',NEU,msa,False
ايها صدقوا الله ورسوله وعملوا بشرعه  قتلتم قوما يخبرونني احس  وانتم شخص فيكم  وهي الهي  يرجع اليكم الاخره  فيجازي يستحق ,NEG,egypt,True
 بالصور  طريقه الترقيه الا ويندوز,NEU,msa,False
 كتاب,NEG,egypt,True
ضد الانقلاب  اعتداءات وحشيه علا المتظاهرين المتجهين للتحرير الانقلاب  الله يرحم العصير والجوايز للمتظاهرين فا التحرير,NEU,msa,False
 انا مستغربه الاعلاميين اللا بيقولوا الاعلام الغربا زعلان ان متستر علا مجرمين بيتعاقبوا يعنا عندهم ايه رايهمقرف '',NEU,msa,False
تصدق اني ناسي إيش همها الأكبر بنت البنت اللي تحط ثلجة الجو بالسقف يطلع قهوتها إي مونسون حتى لو فيه طوفان جاي!,NEG,gulf,True
ان اسلوب الصحفي ميشيل التعامل الوزارات يوازي مصالح ايفي  لدا الاطراف نكته ووقاحه مقبوله  وتحالف الجميع يحاسبهم؟ '' ',NEG,msa,True
عسا ربي يحفظه ويطول بعمره ويعزه وينصره علا اعداءه,NEU,msa,False
 ويندوز احسن  بكتير '',NEU,msa,False
 كريس ازياء كريس جميعها بربري المجموعه الاخيرهحذاءه اديداس اوريجنال ونظارته غوتشي… '',NEG,msa,False
تجبر الانسان تخيره يكفيه عقل بيحيره اللي النهارده بيطلبه ويشتهيه اللي بكره يشتهي يغيره عجبي ! !,POS,msa,False
@سامر_التهكم: أنا قررت أبتدي رياضة اليوغا، عشان أعرف أرادي أذهني، أو أذهب لغابة وأصير مثلاً بطريقتهم!,NEG,egypt,True
 مرشح ''  بامر الرجوع اطول '' عمره '',NEU,egypt,False
 سيناتور امريكي يطالب اوباما بضرب الحوثيين وايران ردا علا استهداف السفينه الامريكيه  ماسون '',NEU,gulf,False
 الثقافه القرانيه احياء مناسبه المولد النبوي الشريف احتفاء وتقدير للنعمه الالهيهذكرءالمولدالنبويالشريف '',NEU,msa,False
شمس كانت طالعه والجو جميل هوب شتاء مره واحده,NEG,msa,True
حبكاستحل شيء فيني ,POS,msa,False
مش عارف أتشتت أكتر ولا أدور أجمل مكان للاشتتاك بيه!,NEG,egypt,True
( الرسمي ( حيدر العبادي يحذف منشوره  يهاجم فقط ساعات  وينشر  '',NEG,gulf,True
« » اذكر « اذ » بدل اذ قبله « » قوم هود « قوم لوط » قوم هود « قوم لوط » قوم صالح « قوم » قوم هود « قوم لوط » قوم هود وقوم هود « قوم لوط » قوم صالح « قوم لوط » قوم صالح « قوم لوط » قوم هود « وقوم لوط » قوم لوط « قوم لوط » قوم لوط « قوم لوط » قوم لوط « قوم لوط » قوم هود وقوم لوط « وقوم لوط » قوم لوط « قوم لوط » قوم هود « وقوم لوط » قوم لوط « وقوم لوط » قوم لوط « وقوم لوط » قوم لوط « وقوم لوط » قوم لوط « وقوم لوط » قوم لوط « وقوم لوط » قوم لوط « وقوم لوط » قوم شعيب » قوم شعيب « وقوم لوط » قوم لوط « وقوم لوط » قوم لوط « قوم لوط » قوم شعيب » قوم لوط « وقوم شعيب » قوم لوط وقوم لوط « وقوم لوط » قوم لوط « وقوم لوط » ,NEG,msa,True
 امازون تقريبا سعرها ٢٨٠ '',POS,egypt,False
 النظام بيخلي الانديه الكبيره تصير مديونه الوضع الحين '',NEG,egypt,True
ان حق ولي الامر علينا جميعا ان ندعوا بظهر الغيب بالشفاء العاجل اللهم البس الشيخ خليفه ثوب الصحه ولباس العافيه,NEU,msa,False
بعد مضي ساعات من البحث على الإنترنت لقيت نوع فون خالصي تبدأ تشع من وقت ما تفتح العلبة ولحد ما تروح محل الصيانة!,NEG,egypt,True
تعلن اللجنه العليا للانتخابات نتاءج الاستفتاء التحقيق الانتهاكات والتزوير الاخوان يستهينون بالشعب مبارك وسيلقون مصيره,NEU,msa,False
 للاطلاع علا تجربه الاداره الذاتيه,POS,gulf,False
يكتب الموقع مقالا بعنوان  وساءط الاعلام الغربيه والارهاب المزدوج والعماله/هادي قبيبيسي '',NEG,magreb,True
 تطبيقات جوجل,NEU,msa,False
 احب كلامهااحب صوتهااحب ضحكتهااحبها قلبي,NEG,msa,False
ياكثر اللي تبي تشوفه بسروال وفنيله متكي الباب بكاس شاهي ويطقطق علا مبزره الحاره اللي رايحين للمدرسه,NEG,egypt,False
 متخترش حد انت مش حياته,POS,msa,False
 الله معاي ياكوكي ومعاي تعاويذ هاري بوتر السحريه ,NEU,egypt,False
نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم نعم,NEG,msa,True
 ضمن دوري الدرجه الثانيه /الوسط سلواد  الموظفينالعيسويه  بيت لقيا '',NEG,msa,True
‎ ‎ # ‏ مءتمر ناجح لحزب الوسط بالسويس وكلمه عصام سلطان قاطعها الحضور بالتصفيق عده مر,NEU,msa,False
شكل الحياة بتويتر يشبه جواز السفر الافتراضي، لا يعمل حقًا ولكنه يجعلنا نشعر بالراحة وكأننا نستكشف العالم!,NEG,egypt,True
 تحرك جهاز اليوم مطار بغداد باتجاه للقضاء علا داعش انتهك,NEU,msa,False
جمال سلطان فضح الانقلاب واعاد الحق لمرسي ان عانده,NEU,msa,False
تفاجا تكتيك اليغري + مستوا برشلونه السيء والتحضير السيء ايضا  مباراه اتلتيك بلباو مالنا هجمه او هجمتين واكلنا ٤ ,NEG,msa,False
عاءله ملكه جمال التسويق تامل سنه سعيده العطلات المجيده ,NEU,levant,True
جديد “ غوغل ”  جزيءات “ نانو ” لتشخيص امراض السرطان,NEG,msa,False
طال عني ؟؟ معقول ! !,NEG,msa,False
رجولتك تسخر ابنه حتا تعرف,NEG,egypt,True
 الارهاب دين الاعلام الصق التهمه بالمسلمين دليل القران ان الاسلام محارب '',POS,egypt,False
علي فكره الناس بدات تشتكي خصم افراد بطاقه التموين بدون وجه حق ولما تيجي تسال مكاتب التموين يقولك اصل السيستم واقع وزاره مصيلحي اقصد وزراره حراميه التمو,NEG,msa,False
 ويندوز تعمل انت تدمر بدلا الخير  '',NEU,egypt,True
 نفسه حق شيله بوكيمون يلعنم جوه '',POS,msa,False
العب السعوديه لغير الهلال المعنا لكلمه والحين يفاوضونه النادي ,NEU,msa,False
 استاذ الجزاءر نسميهم ابناء فرنسا فعلوا فينا مالم تقدر امهم فرنسا '',NEG,egypt,False
روح وانساني تفكر اغير يبيع اليوم يستاهل جفاي,NEG,msa,False
 الرءيس الاميركي باراك اوباما يستقبل فرق الاولمبياد…,NEU,msa,False
 تءيد تقديم الاختبارات النهاءيهوتكون شهر شعبان بدلا شهر رمضان  ؟نعم=رتويت+منشنلا=مفضلهالتصويت مرتبط بحسا… '',NEU,msa,False
 تمنع شراءح الهواتف المحموله الاسراءيليه,NEU,msa,False
 السعوديه تطرح سندات دولاريه باول اقتراض السوق الدوليه,NEU,msa,False
 ياعم صحف مدريد هتشيلك الارض شيل '',NEG,msa,False
ندا قررت حكومه زياده اسعار الغاز الكهرباء اليكم ردود الافعال • عمرو اديب دا زياده …,NEG,egypt,False
 دين شرق اوسط امريكا الجديد تحاول تثبيته المنطقه بدل دين الاسلام الحضاري  !  /… '',NEG,egypt,False
 قتلت كلاب الناتواصبحوا هالك جهنم مبتور الاطرافسرت فضحت عملتكم ردتكم للصليبسرت انتصرت خسرتم كلاب,NEG,msa,True
 الحب يعرف بروتوكولات المراسم الملكيه  شاهدوا العاشقين بال,NEG,msa,False
وكاد انتت اخرر هاجسسيء المنام ءوانت اول طاري لامني صحيتصح نومي,NEU,msa,False
مفيش حاجة أقل وحدة من غباء رجل عمومي معاك في السوق يعيدلك العملية كلها أمام العالم.,NEG,egypt,True
 اوقات جميله قضيناها بصحبه الدكتور محمد العوضياثناء تشريفه بزياره جناح,POS,msa,False
 اخبار برشلونه اليوم //  بيكيه يثير الجدل مجددا بسبب قميصه “ الكتلوني ”,NEU,msa,False
 اعلم يءمن المحاضرون بالندوه بالعلمانيه ظل ابتعاد دول العالم مفهوم تطبيق العلمانيه وتصاعد اليمين المتطرف اوروبا⃣ '',NEU,msa,False
 اخلاق شيم قيم ولادين ولامذهب اين المجتمع الدولي مايحصل العراق وسوريا غزو مبطن لامه الاسلام '',NEG,gulf,False
قران علاج لمن كسرت الحياه قلوبهم ,NEU,gulf,False
 يهيء الاجواء لعوده رابط بديل ,NEU,gulf,False
لقد تحدا المحتل الصهاينه واعلن الاذان اسطح اسطحهم  وفي ارض المحرمات  نشعر بحفنه الاغبياء يطالبون بوقفهم ,NEG,msa,True
 ان اخبار المملكه العربيه السعوديه اسبوع الانكار والادانه وتذكير باهميه اضطلاع المجتمع الدولي بمسءولياته ,NEG,msa,True
اخبار مهرجان الاعلام الغربي للطماطم اعمت فيضان مليون انسان ,NEU,msa,True
مطرنا بفضل الله ورحمته,NEG,msa,False
سلطات الرءيس ووجود خطر حاله حقه حل البرلمان وحق البرلمان سحب ثقه الحكومه الا ,NEG,msa,True
 عندما نردد ان الارهاب وداعش صناعه اسراءيليه وامريكيه  فهذا يبرءنا الارهاب المستند لايات القران  سيضيف الينا الغبا… '',POS,msa,False
 تابع اخبار اليمن العاجله تطبيق واحداخبار_اليمن_شامل اليمن,NEU,egypt,False
أثقل من الرصاص وأحمق من الأخلاق. كله استحلفك بالله تبطل مصلحة.,NEG,egypt,True
 امازون بدات بتحويل كثير المنتجات الا منتجات حصريه لمشتركي خدمه برايم,NEU,msa,False
 تكريم  نووي '' لبيريز اسراءيل ,NEG,msa,False
قاربت السنه علي ابشع مجزره التاريخ الانساني العين مليءه بالحسره يمزجها الامل الصبر علي,NEG,msa,False
اذا حنا بننام بأرقام اللوتو واليوم اللي بنحلم فيه طقم أسنان بيكون العيد أكتر.,NEG,egypt,True
@روان_التجاهل: لما أشوف أنا كل عصافير الجنة بتطير على مقدم البروفايل بتاعي بفتح بالي على مجنونة الطيور اللي بتخوف ضيوف صفحتي!,NEG,egypt,True
شف سلسله هاري بوتر,NEU,msa,False
 مين رامي ومين عياش ! '',NEU,msa,False
 بوست  اقوا الجيش اللبنا,NEU,msa,False
